PING 192.168.64.243 (192.168.64.243) 4096(4124) bytes of data.
4104 bytes from 192.168.64.243: icmp_seq=80 ttl=61 time=50.3 ms
4104 bytes from 192.168.64.243: icmp_seq=81 ttl=61 time=47.8 ms
4104 bytes from 192.168.64.243: icmp_seq=82 ttl=61 time=47.3 ms
4104 bytes from 192.168.64.243: icmp_seq=83 ttl=61 time=47.0 ms
4104 bytes from 192.168.64.243: icmp_seq=84 ttl=61 time=47.4 ms
4104 bytes from 192.168.64.243: icmp_seq=85 ttl=61 time=51.5 ms
4104 bytes from 192.168.64.243: icmp_seq=86 ttl=61 time=49.6 ms
4104 bytes from 192.168.64.243: icmp_seq=87 ttl=61 time=48.1 ms
4104 bytes from 192.168.64.243: icmp_seq=88 ttl=61 time=47.7 ms
4104 bytes from 192.168.64.243: icmp_seq=89 ttl=61 time=47.9 ms
4104 bytes from 192.168.64.243: icmp_seq=90 ttl=61 time=45.9 ms
4104 bytes from 192.168.64.243: icmp_seq=91 ttl=61 time=52.1 ms
4104 bytes from 192.168.64.243: icmp_seq=92 ttl=61 time=49.5 ms
4104 bytes from 192.168.64.243: icmp_seq=93 ttl=61 time=50.3 ms
4104 bytes from 192.168.64.243: icmp_seq=94 ttl=61 time=49.7 ms
4104 bytes from 192.168.64.243: icmp_seq=95 ttl=61 time=50.8 ms
4104 bytes from 192.168.64.243: icmp_seq=96 ttl=61 time=54.1 ms
4104 bytes from 192.168.64.243: icmp_seq=97 ttl=61 time=50.1 ms
4104 bytes from 192.168.64.243: icmp_seq=98 ttl=61 time=50.2 ms
4104 bytes from 192.168.64.243: icmp_seq=99 ttl=61 time=49.0 ms
4104 bytes from 192.168.64.243: icmp_seq=100 ttl=61 time=47.2 ms

--- 192.168.64.243 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99163ms
rtt min/avg/max/mdev = 45.866/50.208/69.610/4.139 ms
